"projectID";"topic";"title"
"101113993";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114173";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114321";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101072279";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113961";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101121182";"HORIZON-CL3-2022-FCT-01-02";"Better understanding the influence of organisational cultures and human interactions in the forensic context as well as a common lexicon"
"101113615";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113839";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101069625";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113214";"HORIZON-EIT-2023-25-Cross-KIC-Regional-Innovation";"EIT Cross-KIC Regional Innovation"
"101113035";"HORIZON-EIT-2023-2025-HEI";"Higher Education Institutions (HEI) initiative 2023-2025"
"101113099";"HORIZON-EIT-2023-25-Cross-KIC-Strategic-ATF";"EIT Cross-KIC Strategic Access to Finance"
"101113078";"HORIZON-EIT-2023-25-Cross-KIC-Strategic-Education";"EIT Cross-KIC Strategic Education"
"101071830";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113831";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101058391";"HORIZON-WIDERA-2021-ERA-01-32";"Standardisation Booster for fostering exploitation of FP-funded research results"
"101071850";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114385";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101071747";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114041";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114564";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101072034";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101071988";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101058623";"HORIZON-WIDERA-2021-ERA-01-44";"Societal trust in science, research and innovation"
"101072294";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113683";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101112701";"HORIZON-EIT-2023-25-TI";"EIT Thematic Innovations cross-KIC cluster"
"101114261";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114484";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101097010";"HORIZON-EIE-2022-CONNECT-01-01";"Towards more inclusive networks and initiatives in European innovation ecosystems"
"101112921";"HORIZON-EIT-2023-25-KIC-EITHEALTH";"EIT Health Business Plan 2023-2025"
"101114052";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114225";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101096781";"HORIZON-EIE-2022-CONNECT-01-02";"Integration of social innovation actors in innovation ecosystems"
"101072296";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113750";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113932";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101072150";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113889";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113568";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114157";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113711";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114222";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114192";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113570";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114249";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113663";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113870";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113810";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101134869";"HORIZON-EIE-2023-CONNECT-01-02";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101113697";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101075949";"HORIZON-WIDERA-2022-CONF-RI-IBA";"Presidency event - Conference on international cooperation in research and innovation"
